id,bin_0,bin_1,bin_2,bin_3,bin_4,nom_0,nom_1,nom_2,nom_3,nom_4,nom_5,nom_6,nom_7,nom_8,nom_9,ord_0,ord_1,ord_2,ord_3,ord_4,ord_5,day,month,target
6045,0,1,0,T,N,Blue,Star,Lion,Russia,Theremin,9ad6558d1,5194690a0,dc0795ce0,dc726f517,fe8b0d4d8,1,Novice,Cold,j,J,PA,4,2,0
6046,0,0,0,T,Y,Red,Star,Lion,India,Piano,5b1a9f841,d76a148ab,bf6088f9f,e89889a70,d167001b0,1,Novice,Freezing,b,R,kw,3,3,0
6047,0,1,1,F,Y,Blue,Triangle,Snake,Russia,Oboe,ef38568df,db35bbdcb,92875bfea,05a31d528,5de9bba38,2,Novice,Lava Hot,h,L,od,2,11,1
6048,0,0,0,F,Y,Green,Star,Lion,Canada,Oboe,e7d9ca356,ac8c42404,f92e1c054,06f5ae149,000c15b20,3,Grandmaster,Cold,a,R,TR,4,11,1
6049,0,1,0,T,Y,Red,Trapezoid,Dog,Russia,Oboe,713ad10a7,7322ea1c9,9f6272571,d82636a8b,880d4d69c,1,Novice,Freezing,h,R,Hj,5,12,0
6050,0,1,1,T,Y,Red,Circle,Axolotl,Russia,Bassoon,bdb9fef4a,1611d2b45,a09faf01e,a0689cd0e,72556e71b,3,Contributor,Lava Hot,k,Z,dO,1,3,0
6051,1,0,0,F,N,Blue,Star,Lion,Finland,Piano,a93b89fc9,fa2bf5f22,3642c70d4,f1de422cc,7d9691062,1,Grandmaster,Boiling Hot,a,J,ex,7,11,0
6052,0,0,0,T,Y,Green,Star,Snake,China,Theremin,b0faff28f,8518cecf3,e58a026bb,998aa0f7a,00559eb44,1,Novice,Boiling Hot,c,L,Hj,2,8,1
6053,0,0,1,F,Y,Green,Polygon,Lion,Finland,Oboe,60a44c8f4,77ad092c1,613fad776,afa40c23d,81e7acca7,1,Master,Boiling Hot,d,L,Xi,5,3,0
6054,0,0,0,F,Y,Blue,Circle,Dog,India,Oboe,05950689f,50e49ea04,a11ffef62,37e441470,4fc19f5ff,1,Master,Boiling Hot,f,L,rZ,3,11,0
6055,0,0,0,F,N,Green,Trapezoid,Cat,China,Theremin,b0faff28f,4cb66e369,e4ae98c29,5f9ac896d,1a2282c46,1,Grandmaster,Lava Hot,a,V,ZR,3,3,1
6056,0,0,1,T,N,Green,Star,Cat,Finland,Bassoon,e0efe9d20,705cb7579,eb50b1f32,b8a606ee1,cefa8140e,1,Master,Warm,o,K,WE,1,9,1
6057,0,1,1,F,Y,Green,Square,Snake,Russia,Bassoon,1e6cb96e8,fbcb50fc1,562dfb0f6,fd0041a98,0755ec00c,1,Master,Cold,i,S,Bb,1,3,0
6058,0,0,0,F,N,Green,Circle,Dog,Russia,Oboe,075ceb58b,4d5fc69ae,b05853f24,41cce7e6e,538ab9f52,1,Novice,Cold,g,E,cA,1,12,0
6059,0,0,0,F,N,Blue,Star,Lion,Russia,Bassoon,5a94fc1d9,aed51f2c9,1e141d08e,9ca6eb700,95e83124e,2,Novice,Boiling Hot,i,Z,CM,4,4,1
6060,1,0,1,F,N,Green,Circle,Cat,Russia,Oboe,eb69430d6,9afd9530d,d10553e7e,4a3dace70,18e372a4d,1,Grandmaster,Hot,h,G,wu,2,10,0
6061,0,0,1,T,Y,Green,Polygon,Snake,Russia,Theremin,d372c8993,fc88d723d,8ca39b82b,738693437,ac7ba5f96,1,Novice,Lava Hot,l,Q,eQ,2,1,0
6062,0,0,0,T,N,Green,Trapezoid,Axolotl,Finland,Bassoon,de04b8750,8c9d16cc3,f1bd2fbf3,62a7a5998,692262042,1,Grandmaster,Hot,k,L,su,3,3,0
6063,0,1,0,F,Y,Blue,Trapezoid,Lion,China,Piano,c0534106d,d173ac7ca,89072e3be,4316cb034,00b1d16c2,1,Grandmaster,Warm,h,V,bJ,2,1,1
6064,0,0,1,T,Y,Blue,Polygon,Dog,Finland,Oboe,35f65a9bf,cf8b12b4e,bf79bfda3,eca31f6ec,49dd3cf6b,3,Grandmaster,Lava Hot,f,Y,xy,2,1,0
6065,0,0,1,F,Y,Red,Triangle,Cat,Russia,Theremin,ddac78300,2a22b315e,d1586e0e0,c2f10c23a,26d8149f6,3,Grandmaster,Freezing,e,S,lF,1,5,0
6066,1,0,0,F,Y,Green,Trapezoid,Hamster,Costa Rica,Piano,0dee9b39a,8ed6221ae,b042166d5,842d0e1fa,0737f9c20,2,Grandmaster,Boiling Hot,l,O,zU,7,9,1
6067,0,0,1,T,Y,Blue,Circle,Hamster,Russia,Bassoon,6a2269152,a26bedd00,f1aec6b64,46ae3059c,5256b62c3,1,Master,Boiling Hot,l,E,Nk,1,2,0
6068,0,0,0,F,Y,Red,Trapezoid,Hamster,China,Piano,35f65a9bf,11698a0b3,d02a6b0ba,29f201d51,25e13de80,1,Master,Freezing,l,S,LE,2,12,1
6069,0,0,0,T,N,Red,Polygon,Axolotl,Russia,Bassoon,3263bdce5,a20513779,b042166d5,2e9b9ce68,992aa544c,1,Grandmaster,Warm,a,S,Uu,2,11,0
6070,0,0,1,T,Y,Green,Triangle,Axolotl,Finland,Theremin,a35c346aa,8bb163a87,e1ea45053,f14a3142c,2668255cf,3,Master,Boiling Hot,j,Q,Xi,2,2,1
6071,0,1,0,F,Y,Green,Square,Dog,Russia,Oboe,59e434d8a,4cb66e369,925c555e6,a348247ca,537878315,1,Novice,Boiling Hot,h,F,ri,2,4,0
6072,1,1,0,T,Y,Red,Circle,Axolotl,India,Theremin,e70a6270d,a78e38dad,99afe26fe,1bf9aa606,39940fa79,2,Grandmaster,Freezing,o,N,JX,3,5,1
6073,0,0,0,T,N,Green,Trapezoid,Snake,Canada,Theremin,c5725677e,d166613dc,38acaf52e,e7ace3433,3cabcaee4,2,Novice,Boiling Hot,o,L,sD,2,2,1
6074,0,1,1,F,Y,Green,Star,Lion,Canada,Piano,e7d9ca356,32db19124,c7a066345,3320ed3a6,6a073f38d,3,Novice,Boiling Hot,h,T,Eg,1,10,1
6075,0,0,0,T,Y,Green,Polygon,Dog,India,Piano,df51b96fc,40ac3fcd5,da3b970aa,f5093ec51,3fdc4459b,1,Novice,Boiling Hot,d,J,Ps,2,2,0
6076,0,0,1,T,Y,Blue,Trapezoid,Dog,China,Bassoon,e9c6fe0f7,2268327b2,b6a49ddd1,40be78f45,3742db788,1,Grandmaster,Lava Hot,d,S,kC,1,11,0
6077,0,0,0,T,N,Red,Square,Lion,Costa Rica,Piano,e6f45aa26,29a854620,15c34fdba,1e9e6552b,bf341f531,1,Grandmaster,Cold,a,V,dh,4,8,1
6078,0,1,0,F,Y,Green,Trapezoid,Lion,China,Bassoon,552e3fdc9,5fa8beadb,e44a8642a,ec329560c,9d2140d3c,1,Grandmaster,Freezing,b,R,Sc,7,2,0
6079,0,0,0,F,Y,Blue,Trapezoid,Hamster,Canada,Piano,05950689f,8fbaca82e,8ff9e8ddf,70647ecaa,7e2423ae5,1,Contributor,Freezing,j,R,sV,7,2,0
6080,0,0,0,T,Y,Blue,Trapezoid,Axolotl,Canada,Oboe,49f4b29cc,ac8c42404,ef19d40b7,a89fae205,e0ea524b6,2,Novice,Hot,l,L,Gb,5,12,1
6081,0,0,1,T,Y,Green,Circle,Dog,China,Piano,4845cc770,fc88900c4,c893d29eb,550e90c2e,3ea990ea5,2,Grandmaster,Cold,h,R,kK,5,3,0
6082,0,1,0,F,Y,Blue,Circle,Snake,Canada,Theremin,493de6347,b5f4a755a,2923091c6,38a61d827,65d54e094,2,Grandmaster,Warm,l,Q,Fo,5,2,1
6083,0,0,1,F,Y,Green,Polygon,Lion,Costa Rica,Piano,f6c524860,89a937a9f,700924d38,59ea7317d,8efd46297,1,Novice,Lava Hot,g,Y,fO,2,8,0
6084,0,1,0,T,Y,Green,Circle,Lion,India,Bassoon,e9c6fe0f7,0ef3dda96,e94478990,85c93d16b,086a8d37e,1,Master,Lava Hot,a,P,PA,3,2,0
6085,0,0,0,T,Y,Green,Square,Snake,India,Piano,bdb9fef4a,5cabda141,21e5e9342,92347baee,5f4ebc6f5,1,Contributor,Lava Hot,j,X,on,1,4,1
6086,1,0,1,F,Y,Red,Triangle,Axolotl,Russia,Oboe,91a20b464,fd9370b9e,752efcc5b,7afddc9a3,948070168,2,Master,Freezing,i,U,iT,2,3,0
6087,0,0,1,F,Y,Green,Square,Dog,Finland,Oboe,2ff007c26,1ea13ded7,467a8a887,182a1fd8c,392467fdc,3,Novice,Cold,a,Q,RP,4,3,0
6088,0,0,0,T,N,Blue,Trapezoid,Cat,Finland,Oboe,1e6cb96e8,c0f1061ee,1d8c23baa,a54b28890,b531cc668,2,Contributor,Lava Hot,d,Z,FI,3,2,0
6089,0,0,0,T,Y,Blue,Trapezoid,Snake,China,Oboe,ef38568df,fc88900c4,897724aa8,0605519a1,f3191aab0,1,Novice,Lava Hot,b,A,mm,2,10,0
6090,0,1,1,T,N,Green,Star,Dog,Russia,Oboe,de04b8750,29b650229,ac35c8d4b,e482967f3,46646bcf4,2,Grandmaster,Boiling Hot,h,S,Ob,1,12,1
6091,0,1,0,T,Y,Blue,Square,Cat,Russia,Oboe,85159d577,d43e63dc9,5d135b62f,cd579b4ac,b51cb1773,1,Contributor,Freezing,a,Y,cp,2,1,0
6092,1,0,0,T,Y,Blue,Trapezoid,Lion,Russia,Piano,bd7740b93,ac8c42404,27e0c7992,c699c36c7,d56c7acad,3,Novice,Freezing,c,R,tP,4,4,0
6093,0,0,1,T,Y,Blue,Trapezoid,Cat,China,Theremin,bd40c81f3,9ceb19dd6,99e773789,29217b709,a9ce3334c,2,Novice,Freezing,g,I,AP,1,5,0
6094,0,0,0,F,N,Red,Trapezoid,Cat,Russia,Oboe,5b1a9f841,292dea6ab,b0304151b,ffffab6a3,e3015db2b,2,Grandmaster,Freezing,b,L,vK,3,8,1
6095,0,0,0,T,Y,Green,Triangle,Axolotl,Russia,Oboe,2e7f4d636,116d9fcd9,a42386065,0874302d8,3631dbcaf,1,Grandmaster,Cold,j,J,aP,2,11,1
6096,0,0,1,F,N,Green,Polygon,Lion,Russia,Theremin,ead12da87,cd8e3a0a7,b9b5e2958,6c7939160,5848f9ac4,1,Novice,Lava Hot,j,Q,dQ,3,2,1
6097,0,1,1,F,N,Red,Trapezoid,Lion,Canada,Bassoon,81264f81f,8082e0409,386eb705f,7cefd81e8,0effe609c,2,Master,Lava Hot,g,K,Xh,1,2,0
6098,0,1,1,F,N,Red,Trapezoid,Lion,Russia,Bassoon,115a252ba,4cf47e292,81d9a641a,ba9467f18,85b715e9e,2,Novice,Boiling Hot,e,P,KZ,7,1,0
6099,0,0,0,T,Y,Blue,Square,Lion,Canada,Piano,9347491f2,017eb57f0,dafcbebd7,a5ccc01bb,4760b40fe,1,Expert,Freezing,o,Z,yc,2,2,0
6100,1,0,1,F,N,Green,Trapezoid,Lion,Russia,Theremin,3685a0904,788ba7aea,4dc20a594,f94576c59,ee997e1c2,2,Novice,Freezing,h,A,WE,7,2,0
6101,0,0,0,T,N,Blue,Circle,Snake,Russia,Theremin,2ff007c26,a028c07af,c7858e014,fc2f6a473,d1835e76b,1,Grandmaster,Cold,j,J,dZ,2,7,0
6102,0,1,0,T,Y,Green,Square,Dog,Russia,Oboe,568550f04,d4fd01769,659c782a1,06f5ae149,aba61f0b1,1,Novice,Boiling Hot,f,V,lL,1,10,1
6103,0,0,0,F,Y,Green,Star,Snake,Finland,Oboe,b4c8e6595,3bac0bd8e,cb5d42426,ba0908512,e60579800,1,Novice,Boiling Hot,g,L,TR,1,2,1
6104,0,1,0,F,Y,Green,Circle,Axolotl,India,Piano,6cd0619e0,063f4307d,99e773789,7517f74f0,1ec8e23cc,1,Novice,Freezing,n,L,AP,1,2,0
6105,0,0,1,T,Y,Green,Circle,Snake,Canada,Piano,ee55b9d67,2df6f79a2,700924d38,cb6b287ca,b4ed86251,1,Contributor,Freezing,h,H,sD,1,8,0
6106,1,0,1,T,Y,Blue,Trapezoid,Cat,Russia,Oboe,159a7306f,8c9d16cc3,d9e7595bb,8feab4393,d661d44d2,1,Expert,Cold,h,Q,dO,1,9,0
6107,0,0,0,T,N,Green,Trapezoid,Lion,Costa Rica,Oboe,778fdbe56,c103290d4,03759a488,5e76e2c03,02ec4654d,1,Novice,Boiling Hot,h,B,ac,3,2,0
6108,0,0,0,T,N,Red,Star,Lion,Canada,Piano,3aabfa2fc,cd225807c,b8240e94d,b8428a89a,b2afd76a3,2,Grandmaster,Freezing,f,S,tP,1,7,1
6109,0,0,1,F,Y,Red,Trapezoid,Cat,Costa Rica,Oboe,2cadfed8e,705cb7579,6448d1faf,91365a656,d6f990e6a,3,Grandmaster,Boiling Hot,f,H,hp,2,3,0
6110,0,1,0,F,Y,Red,Trapezoid,Cat,Finland,Oboe,72f8028dc,9e0a099c7,7ad3e362c,6844c9a87,0e83be8b7,1,Novice,Freezing,g,G,Gx,3,3,0
6111,0,0,1,F,N,Blue,Trapezoid,Snake,Russia,Oboe,e6f45aa26,0922e3cb8,eeba65bef,f434490ad,b053948a3,1,Grandmaster,Boiling Hot,a,P,Bn,5,12,0
6112,0,1,0,T,N,Blue,Trapezoid,Cat,India,Oboe,88707c9ab,7322ea1c9,0074c698f,4a3dace70,e544aa757,2,Novice,Boiling Hot,c,V,Eg,7,4,0
6113,0,0,0,T,Y,Green,Trapezoid,Cat,India,Oboe,2979f0d45,718fd9453,021629b02,a435ca0db,1dfdf7907,1,Contributor,Lava Hot,l,G,Qo,1,3,1
6114,0,1,1,F,N,Blue,Trapezoid,Dog,India,Bassoon,05950689f,9a16c7c8f,d538e2731,72f9294c0,95c2bda7e,1,Grandmaster,Lava Hot,l,A,To,2,8,1
6115,1,0,0,T,Y,Blue,Circle,Cat,Canada,Oboe,f6c524860,36282e811,bce7d2952,06b7e7cb3,f96a63a74,1,Master,Lava Hot,f,S,cp,3,11,1
6116,0,0,1,T,Y,Blue,Triangle,Lion,Canada,Bassoon,eb69430d6,77ad092c1,4a0ff1117,c148f1638,bbe9dce97,1,Grandmaster,Freezing,a,Y,rZ,3,3,0
6117,0,0,1,F,Y,Red,Trapezoid,Lion,India,Oboe,81f9d3312,cd94f29d1,51f3e394c,1a5d33f00,7711f53a2,1,Contributor,Cold,e,K,To,4,8,0
6118,0,0,1,T,N,Green,Trapezoid,Dog,Russia,Bassoon,30a15b6bd,cebefe5b5,3a114adea,89a61e164,904a34482,1,Grandmaster,Cold,l,R,sY,3,11,0
6119,0,0,1,T,N,Green,Polygon,Snake,Russia,Oboe,778fdbe56,8518cecf3,70d3cd098,ccee5b87d,fffb01c38,1,Novice,Lava Hot,g,A,dN,3,9,0
6120,0,0,1,F,N,Green,Star,Axolotl,Costa Rica,Theremin,a93b89fc9,ea7a1aaf6,3dfde7f8f,e7ed9ec87,525608e08,1,Grandmaster,Boiling Hot,l,A,FI,4,12,0
6121,0,0,1,T,Y,Green,Circle,Lion,China,Theremin,e428c040e,485fc6466,0bcd0782c,f711028cf,55af05078,1,Novice,Warm,g,R,cW,2,7,0
6122,0,0,0,T,N,Blue,Star,Cat,Russia,Bassoon,66669a44f,b69c236cb,f68715780,c23895153,2faa8f67c,1,Novice,Freezing,g,E,SB,1,11,0
6123,0,0,0,F,N,Green,Triangle,Lion,Canada,Oboe,2ff007c26,2ed5a94b0,ccb907da7,65cbea482,b2f30aa43,2,Novice,Boiling Hot,g,Z,aM,3,1,1
6124,0,0,0,T,Y,Green,Polygon,Cat,Canada,Oboe,ad95dc0ee,1f2e3f148,5720c852a,ea374ba40,6be4248c7,1,Novice,Lava Hot,d,O,dh,1,2,1
6125,0,0,0,T,Y,Blue,Polygon,Dog,China,Piano,dc07effb0,adfb4cba3,c75a7f5f8,e33c9683a,b2ba374ac,3,Novice,Lava Hot,f,R,kW,2,7,1
6126,0,0,0,F,Y,Blue,Square,Axolotl,Russia,Oboe,3fef1a765,1537295c3,56a0dc1f7,de9c9f684,fafe649df,1,Novice,Freezing,l,Z,ut,2,1,0
6127,1,0,0,T,Y,Green,Trapezoid,Cat,Russia,Oboe,5d18641ff,1abac47d0,0ad84f641,1dc87a5c6,245007a3b,3,Master,Boiling Hot,b,L,fO,4,12,1
6128,0,0,0,T,N,Green,Star,Lion,India,Theremin,5b0f5acd5,c06f1b9f7,594f7042d,db2e017c6,5bdd94d9b,1,Novice,Hot,o,S,PA,4,3,0
6129,0,0,1,T,N,Green,Trapezoid,Axolotl,Russia,Bassoon,4464569ee,50e49ea04,6ded0aa57,42c269f3d,1903e8cdf,1,Novice,Boiling Hot,l,A,bF,1,7,0
6130,0,0,0,F,Y,Green,Star,Lion,India,Bassoon,a3f640358,0958071b5,66e4ca8cd,edb9a61dc,d4d004ee5,3,Novice,Freezing,i,L,kE,1,1,0
6131,0,0,1,T,Y,Red,Star,Axolotl,China,Bassoon,472efea17,25d3a1087,e0570ce05,f05f58ba6,43fe49fd2,1,Novice,Hot,a,R,Vx,7,12,0
6132,0,1,0,T,N,Green,Square,Dog,Canada,Oboe,d1b1709e8,a028c07af,f0c830981,9d6ef839d,f18854563,1,Master,Boiling Hot,h,O,WE,1,10,1
6133,0,0,0,T,Y,Red,Triangle,Dog,Russia,Piano,af088d192,3c5d81a52,c0f0163d0,06f9521a6,c59e44911,2,Master,Cold,c,L,qX,7,9,1
6134,0,1,0,F,Y,Green,Square,Lion,Russia,Theremin,a93b89fc9,f461f837c,752efcc5b,ea4f842b4,f4987acee,1,Grandmaster,Freezing,k,E,Qo,2,3,1
6135,0,0,0,T,Y,Red,Star,Dog,Canada,Theremin,e6f45aa26,839a6bcdb,4f60079ba,c23895153,f1f400644,2,Novice,Boiling Hot,l,R,kE,4,7,1
6136,0,0,0,F,Y,Green,Trapezoid,Lion,China,Theremin,4845cc770,bd47c2363,1c6544394,e5f3dfb3d,937c9edb5,2,Master,Lava Hot,g,C,eb,2,12,1
6137,1,0,0,T,Y,Red,Trapezoid,Lion,China,Oboe,5a94fc1d9,1c34a67d7,7d964ca6f,3db9a3f93,ade5b3ae5,1,Novice,Freezing,a,I,Zq,7,7,0
6138,0,0,1,T,N,Blue,Trapezoid,Cat,Finland,Theremin,8266050c6,b83511180,70d3cd098,929e25ee4,078fbf6e3,2,Master,Freezing,c,F,lx,1,2,0
6139,0,0,0,T,Y,Green,Polygon,Snake,China,Oboe,dd500b26a,dee9cf5e9,d888dabd2,12f905248,ad6942679,1,Expert,Freezing,b,K,Kq,2,12,0
6140,0,0,0,F,N,Green,Trapezoid,Lion,India,Piano,b7bb45938,498b2bdcb,66dd9dc34,7f9e64f9a,9fd7919c4,2,Master,Freezing,a,N,Dx,2,12,0
6141,0,1,0,T,Y,Red,Square,Hamster,India,Oboe,f0c1ceee4,9448b8e3b,a5406a31a,5e2dfdc4e,29aaa0e8f,2,Expert,Freezing,g,U,Ai,1,12,1
6142,1,1,0,F,Y,Blue,Square,Lion,China,Bassoon,59e434d8a,9fbd66490,cb9bbed08,42cec36e5,744a31ac5,1,Contributor,Cold,l,R,mm,3,8,0
6143,0,0,1,F,Y,Green,Square,Snake,Russia,Bassoon,0870b0a5d,f14fe8bc5,b1e0ffc10,b80b1b531,074c0a9cb,2,Grandmaster,Freezing,l,H,zU,5,3,1
6144,0,0,0,F,Y,Blue,Trapezoid,Lion,China,Theremin,8d5d9f3db,8ad083b20,4addee130,6c16496e3,3fe4ec6f7,2,Grandmaster,Cold,a,O,ek,7,2,0
6145,1,0,0,F,N,Blue,Star,Lion,India,Piano,9ba4e87a7,ec93484e7,097b0f4ce,eda76fee3,c10b332b8,1,Master,Boiling Hot,g,V,dN,2,9,1
6146,1,0,1,T,Y,Red,Square,Snake,Canada,Piano,35f65a9bf,788ba7aea,bb4e2bb0f,fdcd0dada,95af1dcf2,1,Novice,Lava Hot,l,T,Kq,4,8,1
6147,0,0,0,F,Y,Red,Triangle,Cat,India,Theremin,5a466e166,5f57e7d4f,5e43e6e8e,7e0338e4e,af3354181,3,Novice,Boiling Hot,b,S,Vf,2,2,0
6148,0,0,1,T,N,Green,Square,Lion,Finland,Bassoon,83b38aa6b,5f57e7d4f,90e044eae,592780592,1ad346cfc,3,Grandmaster,Freezing,f,U,yc,3,3,0
6149,0,1,1,T,Y,Red,Trapezoid,Lion,India,Oboe,e844a1f66,dfb9bd114,50831f351,7d97eba78,f3bf14fae,1,Novice,Freezing,k,X,qv,7,9,0
6150,0,1,1,F,Y,Blue,Triangle,Dog,Russia,Piano,dbfb714a4,0ef3dda96,ba9901303,99d245d48,9f1958d21,3,Expert,Cold,g,R,dQ,3,3,1
6151,0,0,1,T,Y,Red,Trapezoid,Dog,Finland,Piano,640e1fdd5,acf5b10dd,a6f3a3931,3cdbb21be,c58d43125,2,Contributor,Freezing,i,W,MV,7,12,1
6152,0,1,0,F,N,Red,Triangle,Lion,Finland,Piano,f9d17bb93,1fe17a1fd,39ba044de,edc54486c,2aa4eb9ad,1,Novice,Warm,a,A,be,2,7,0
6153,0,0,0,T,Y,Green,Square,Snake,India,Bassoon,c2843dc45,0958071b5,af5c8eb4f,bca945ef3,35ab040ba,3,Grandmaster,Lava Hot,a,H,LE,2,7,0
6154,0,0,0,F,N,Red,Polygon,Lion,Russia,Bassoon,a3f640358,aed51f2c9,f068c45b3,a0689cd0e,067843290,2,Novice,Cold,g,K,dN,1,8,0
6155,0,1,1,F,Y,Red,Trapezoid,Lion,Russia,Theremin,9ad6558d1,ae67aec36,99e773789,472f79626,932ede7a3,2,Grandmaster,Cold,l,U,oC,1,10,0
6156,0,0,0,F,N,Red,Polygon,Dog,Costa Rica,Bassoon,81264f81f,e550bcc1b,c55ec51a8,90fb1c278,613fd2ceb,2,Master,Lava Hot,a,F,ih,3,3,0
6157,0,0,0,F,Y,Blue,Trapezoid,Cat,Russia,Bassoon,3585ff84b,86021cf04,8c4ce64a1,a0689cd0e,8eb38f3ab,1,Grandmaster,Lava Hot,e,P,PA,7,12,1
6158,0,1,1,T,Y,Blue,Square,Lion,Russia,Piano,0bdf8165a,839a6bcdb,ce310f731,63d65920a,5dedcc2a3,3,Grandmaster,Cold,d,U,oH,4,10,0
6159,0,0,0,F,Y,Green,Triangle,Lion,Russia,Oboe,5a466e166,f81cde28d,b19f989eb,b99b10c75,55306df03,1,Novice,Freezing,k,P,qv,1,1,1
6160,0,1,0,T,Y,Green,Trapezoid,Hamster,Costa Rica,Bassoon,a93b89fc9,d6f8634af,f477d5857,90fb1c278,8171416d6,1,Contributor,Lava Hot,g,R,ps,3,1,0
6161,0,0,0,T,Y,Blue,Trapezoid,Cat,Russia,Oboe,e52fbf1c8,8817e18d1,876d3cbbc,71746632f,39a5382b0,2,Grandmaster,Warm,l,X,ex,3,4,1
6162,0,0,0,F,N,Red,Trapezoid,Lion,Costa Rica,Bassoon,a9ed6dfea,214f24d39,ec69236eb,8657e6376,a23af3720,3,Novice,Freezing,k,V,on,3,1,0
6163,0,1,1,F,Y,Green,Polygon,Lion,Costa Rica,Oboe,2ff007c26,b5f4a755a,a42386065,1a2f9e277,1ab585df5,2,Grandmaster,Freezing,a,R,ZS,3,3,1
6164,0,0,0,F,Y,Green,Trapezoid,Lion,Russia,Bassoon,5a94fc1d9,b238965eb,e284f6804,07802123c,e616005e5,1,Novice,Cold,a,J,Gx,3,10,1
6165,0,0,1,F,Y,Red,Star,Hamster,Costa Rica,Theremin,e7d9ca356,6d7f8c086,ce4d37a74,b321d0ca8,da2584f35,1,Novice,Lava Hot,j,H,kE,5,3,1
6166,1,0,0,F,Y,Green,Trapezoid,Cat,Finland,Theremin,5a466e166,5fa8beadb,4609df5db,c26d962e8,e976df9a5,3,Novice,Boiling Hot,a,P,ri,4,8,0
6167,0,0,1,F,Y,Green,Star,Dog,Russia,Piano,da60580a8,edb3cf6c8,b3b7c8b11,b8a606ee1,992311ee0,1,Grandmaster,Boiling Hot,l,D,od,3,12,1
6168,0,0,0,T,Y,Red,Triangle,Hamster,Russia,Theremin,8dcf8adfb,34256b89f,a40ac269e,905ab519b,2ed224c63,2,Novice,Hot,a,P,ih,3,5,1
6169,0,1,1,T,N,Blue,Trapezoid,Axolotl,Russia,Piano,3aa9329e2,945aa2bc5,4ccc9f448,4eef4ae9e,60ecb06e4,1,Grandmaster,Boiling Hot,f,H,oK,3,11,0
6170,0,1,0,T,Y,Blue,Circle,Lion,Costa Rica,Piano,72f8028dc,50e49ea04,12e6161c9,bf30347cf,e6afeae1f,3,Contributor,Boiling Hot,n,E,Bn,4,4,0
6171,0,0,0,F,N,Blue,Star,Snake,Canada,Bassoon,af088d192,f461f837c,edc7ffe95,0ec45f250,cb3f7d7fd,3,Contributor,Cold,e,P,tM,2,4,1
6172,0,0,1,F,Y,Red,Circle,Axolotl,China,Oboe,ee55b9d67,f24d83141,aad1364b6,a9d35cede,64f89328c,3,Master,Boiling Hot,h,S,AP,7,1,0
6173,0,1,0,F,Y,Green,Trapezoid,Hamster,Costa Rica,Oboe,46cab09da,f0c4b23ef,ced4fd70a,29217b709,7be727c23,3,Grandmaster,Lava Hot,b,F,To,4,4,0
6174,0,0,1,T,Y,Blue,Square,Cat,Russia,Theremin,19db35594,c75b3104a,3fc00f7c8,b09068d3c,5eb2cf7a7,1,Novice,Cold,i,V,kW,7,1,0
6175,0,1,0,T,N,Blue,Triangle,Lion,India,Theremin,b7bb45938,d88fca3ba,1f0a92e59,b83cb4503,88df47aad,1,Novice,Boiling Hot,g,B,rZ,2,12,1
6176,0,1,1,F,Y,Green,Triangle,Lion,India,Piano,b0faff28f,44e4c0bba,91d923041,798b2eee2,efe13bfb1,1,Novice,Freezing,a,Q,ut,1,1,0
6177,0,1,0,F,Y,Blue,Circle,Dog,Russia,Piano,f6c524860,96c110558,3f95dca80,6a0697e2a,6c7322f23,1,Grandmaster,Cold,a,L,kK,7,10,0
6178,0,1,0,T,N,Red,Trapezoid,Snake,Russia,Bassoon,3263bdce5,46c89ef8d,450f606f6,68e0cda56,d637c0b08,1,Novice,Freezing,g,G,fO,1,12,0
6179,0,1,0,F,N,Red,Square,Dog,Finland,Theremin,76be0b8b1,1fe17a1fd,a40ac269e,60e558ac2,0a6f3cd3a,1,Contributor,Lava Hot,o,W,ut,7,3,1
6180,0,0,1,F,N,Blue,Star,Snake,India,Oboe,d9becff68,4c6d8f959,7a8c327a2,33193b0ef,c52bca283,3,Novice,Warm,k,R,aO,2,1,1
6181,0,0,1,F,N,Blue,Polygon,Dog,China,Theremin,d3079098d,fa498a5ae,040a5f112,3cdbb21be,6845740e8,2,Novice,Freezing,b,Z,jV,1,3,1
6182,0,0,1,T,N,Red,Star,Lion,India,Oboe,9ad6558d1,96c110558,70363b2e8,a96775d37,de7699a4a,2,Novice,Freezing,k,P,dQ,1,11,1
6183,0,0,1,F,Y,Green,Trapezoid,Cat,Costa Rica,Theremin,ddac78300,bea839b58,b48349b5b,52d0584f0,7bd0f14ac,1,Master,Boiling Hot,g,S,on,1,3,1
6184,1,0,0,T,N,Green,Polygon,Lion,Russia,Piano,2a0e95ba1,4c1bdbe7b,b87acaaed,714157447,b91f058fd,1,Novice,Cold,l,Z,Eg,3,3,1
6185,0,0,0,T,N,Green,Trapezoid,Dog,Russia,Theremin,1f1702d2f,5d47a598c,9d7167a13,8865c52d5,2f3491809,1,Contributor,Freezing,a,J,MO,7,4,0
6186,0,0,0,F,N,Green,Star,Lion,Russia,Theremin,b0faff28f,339c0fa05,a6a36f527,9a02ccb2f,44aa78478,1,Master,Warm,a,W,Fo,7,4,0
6187,0,0,1,F,Y,Green,Trapezoid,Cat,Russia,Piano,6cd0619e0,1c34a67d7,212cf5255,f91f3b1ee,705ad0b1c,1,Grandmaster,Freezing,j,G,be,2,2,0
